State,District,Latitude,Longitude,District code,Population,sex_ratio,literacy_rate,Hindu_pct,Muslims_pct,Christians_pct,Male_literacy_rate,Female_literacy_rate,Male_pct,Female_pct,Internet_pct,Electricity_pct,Gender_literacy_gap,Workers_pct,Non_workers_pct,Urban_pct,Rural_pct
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,97.08,59.94,95.39,2.18,0.78,68.99,50.61,50.74,49.26,1.16,70.44,18.38,45.17,54.83,25.5,74.5
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,101.0,68.37,97.18,1.3,0.33,76.38,60.44,49.75,50.25,0.48,70.76,15.94,50.38,49.62,19.86,80.14
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,98.79,68.88,93.6,2.5,0.73,76.37,61.31,50.3,49.7,1.83,69.53,15.06,44.76,55.24,39.6,60.4
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,100.51,58.17,73.91,1.8,22.26,66.08,50.3,49.87,50.13,0.25,33.92,15.78,57.22,42.78,9.15,90.85
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,96.87,62.05,93.91,2.5,1.75,70.71,53.12,50.8,49.2,1.37,60.84,17.59,43.19,56.81,37.89,62.11
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,96.85,60.38,91.7,3.93,1.43,68.69,51.79,50.8,49.2,0.92,44.06,16.9,46.6,53.4,32.91,67.09
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,101.72,61.77,97.61,1.22,0.51,71.12,52.59,49.57,50.43,0.31,68.42,18.53,48.34,51.66,11.52,88.48
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,99.12,63.7,95.25,1.16,3.19,72.34,54.98,50.22,49.78,0.79,70.63,17.36,46.2,53.8,15.83,84.17
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,95.95,73.65,85.01,8.64,0.66,78.83,68.25,51.03,48.97,4.02,57.06,10.58,40.73,59.27,39.33,60.67
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,98.41,64.71,95.51,2.54,0.57,72.9,56.39,50.4,49.6,1.9,68.18,16.51,43.25,56.75,36.97,63.03
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,97.79,50.34,90.1,3.45,4.13,58.22,42.28,50.56,49.44,0.46,42.85,15.94,48.98,51.02,11.03,88.97
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,53.36,78.64,89.73,8.41,1.37,83.68,69.21,65.21,34.79,1.85,69.29,14.47,55.2,44.8,85.92,14.079999999999998
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,95.33,67.18,87.39,12.21,0.09,74.55,59.45,51.2,48.8,0.85,64.16,15.1,40.97,59.03,37.01,62.99
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,96.32,81.06,76.06,7.08,16.4,84.42,77.57,50.94,49.06,7.21,53.51,6.85,40.06,59.94,64.36,35.64
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,98.64,78.44,53.34,9.93,36.21,81.9,74.93,50.34,49.66,7.01,55.19,6.97,38.97,61.03,64.76,35.239999999999995
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,90.45,75.35,83.76,12.24,0.7,79.87,70.35,52.51,47.49,5.75,66.23,9.52,35.97,64.03,83.94,16.060000000000002
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,96.38,65.74,93.15,6.55,0.06,72.39,58.84,50.92,49.08,0.59,63.47,13.55,43.4,56.6,27.15,72.85
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,92.49,74.13,85.95,11.99,1.42,80.43,67.31,51.95,48.05,1.59,60.82,13.12,40.37,59.63,33.59,66.41
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,93.77,54.64,92.62,6.84,0.05,65.1,43.47,51.61,48.39,0.43,49.35,21.63,40.01,59.99,17.09,82.91
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,92.5,72.1,76.61,22.15,0.61,77.33,66.45,51.95,48.05,2.13,64.13,10.88,40.43,59.57,37.62,62.38
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,93.29,65.52,91.4,7.39,0.12,72.97,57.54,51.74,48.26,0.98,67.3,15.43,39.95,60.05,47.96,52.04
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,92.27,74.04,94.81,4.12,0.23,80.5,67.05,52.01,47.99,2.79,60.6,13.45,38.44,61.56,45.15,54.85
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,93.87,64.65,83.81,14.85,0.2,71.36,57.5,51.58,48.42,1.79,59.81,13.86,39.23,60.77,46.29,53.71
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,95.33,67.18,87.39,12.21,0.09,74.55,59.45,51.2,48.8,0.85,64.16,15.1,40.97,59.03,37.01,62.99
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,90.78,59.85,76.89,21.14,0.3,67.4,51.53,52.42,47.58,1.3,54.55,15.87,37.1,62.9,33.95,66.05
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,93.96,72.19,87.0,11.5,1.16,79.49,64.42,51.56,48.44,0.92,59.84,15.07,40.61,59.39,25.81,74.19
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,92.62,73.84,92.66,6.7,0.1,80.22,66.95,51.92,48.08,1.18,58.45,13.27,39.9,60.1,27.85,72.15
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,96.06,62.74,94.84,3.83,0.75,70.33,54.83,51.01,48.99,0.36,63.57,15.5,49.94,50.06,13.87,86.13
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,96.07,75.35,92.13,5.92,0.43,79.55,70.98,51.0,49.0,1.64,65.42,8.57,44.51,55.49,34.56,65.44
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,94.85,60.27,92.9,6.63,0.12,69.93,50.07,51.32,48.68,0.61,70.28,19.86,45.91,54.09,18.36,81.64
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,93.51,62.36,88.91,10.63,0.07,71.23,52.87,51.68,48.32,0.55,55.28,18.36,41.29,58.71,25.4,74.6
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,95.01,67.24,93.9,5.73,0.09,73.82,60.32,51.28,48.72,0.9,63.76,13.5,39.49,60.51,47.7,52.3
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,92.69,71.63,89.3,9.5,0.14,76.68,66.17,51.9,48.1,1.84,63.28,10.51,38.88,61.12,61.09,38.91
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,95.19,65.01,93.08,6.12,0.26,73.83,55.74,51.23,48.77,0.79,65.9,18.09,44.67,55.33,18.26,81.74
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,78.75,75.17,86.5,10.87,0.35,78.99,70.32,55.95,44.05,2.93,65.92,8.67,41.99,58.01,80.53,19.47
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,93.01,62.27,92.26,6.25,0.08,70.69,53.22,51.81,48.19,0.59,60.34,17.47,41.2,58.8,31.92,68.08
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,100.57,61.75,89.16,1.57,8.77,67.93,55.61,49.86,50.14,0.23,49.97,12.32,51.8,48.2,12.61,87.39
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,93.41,69.45,89.16,9.23,0.57,74.94,63.57,51.7,48.3,4.32,64.36,11.37,40.65,59.35,55.87,44.13
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,92.25,68.63,92.11,5.51,1.15,73.89,62.94,52.02,47.98,2.21,66.06,10.95,43.57,56.43,47.35,52.65
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,88.47,72.5,84.65,1.96,0.33,77.05,67.35,53.06,46.94,4.09,63.34,9.7,32.98,67.02,44.37,55.63
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,88.59,65.46,98.57,0.95,0.05,74.21,55.58,53.03,46.97,1.16,58.35,18.63,38.12,61.88,21.75,78.25
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,87.32,70.33,87.77,8.93,0.54,76.07,63.75,53.38,46.62,9.23,70.78,12.32,32.01,67.99,81.37,18.629999999999995
